column1,strokeCount,search_result
蝦,15,4.76
課,15,3.288333333333333
嘩,13,3.56
貨,11,4.123333333333333
迦,8,
過,12,2.445
霞,17,2.8
蚊,10,4.88
俄,9,2.17
峨,10,3.46
我,7,2.608
牙,5,4.593333333333333
画,8,4.52
臥,9,3.8666666666666667
芽,8,4.5025
蛾,13,4.69
賀,12,2.4050000000000002
雅,13,2.2225
餓,15,3.14
駕,15,4.346666666666667
介,4,2.9233333333333333
会,6,3.12
解,13,2.83875
回,6,4.0024999999999995
塊,13,4.015
壊,16,3.39
廻,9,3.79
快,7,2.0725
怪,8,2.22
悔,9,1.88
恢,9,3.2
懐,16,3.5085714285714285
戒,7,2.53
拐,8,3.08
改,7,2.78125
晦,10,3.575
械,11,4.06
海,9,4.825
灰,6,4.51
界,9,3.7
皆,9,2.285
絵,12,4.5675
芥,7,4.256
蟹,19,4.9
開,12,3.2666666666666666
階,12,4.55
貝,7,4.53
凱,12,2.55
劾,8,2.96
外,5,4.25
咳,9,3.955
害,10,3.31
崖,11,3.855
慨,13,2.42
概,14,2.315
涯,11,3.7350000000000003
碍,13,3.48
蓋,13,4.443333333333333
街,12,4.706666666666667
該,13,1.4849999999999999
鎧,18,3.73
骸,16,4.86
浬,10,3.66
馨,20,3.075
蛙,12,5.0
垣,9,4.74
柿,9,4.74
蛎,11,4.85
鈎,12,4.654999999999999
劃,14,2.86
嚇,17,2.1975
各,6,2.04
廓,14,4.234999999999999
拡,8,2.94
撹,15,3.54
格,10,3.012
核,10,3.8833333333333333
殻,11,4.6899999999999995
獲,16,3.02875
確,15,3.13625
穫,18,3.5700000000000003
覚,12,2.818
角,7,4.36
赫,14,3.2525
較,13,2.58
郭,11,3.9433333333333334
閣,14,4.23
隔,13,3.12
革,9,3.2875
学,8,3.21
岳,8,4.183333333333334
楽,13,3.1733333333333333
額,18,3.8685714285714288
顎,18,4.696666666666666
掛,11,3.263333333333333
笠,11,4.86
樫,16,4.0
橿,17,4.82
梶,11,
鰍,20,
潟,15,4.5
割,12,3.1916666666666664
喝,11,3.07
恰,9,1.43
括,9,3.9875
活,9,2.685
渇,11,3.3866666666666667
滑,13,3.88
葛,11,
褐,13,4.48
轄,17,3.17
且,5,1.81
鰹,23,
叶,5,3.21
椛,11,3.95
樺,14,4.205
鞄,14,4.91
株,10,3.954
兜,11,4.835
竃,17,4.7524999999999995
蒲,13,4.859999999999999
釜,10,4.65
鎌,18,4.176666666666667
噛,15,4.076666666666667
鴨,16,2.24
栢,10,4.82
茅,8,
萱,12,
刈,4,4.138
苅,7,4.11
瓦,5,4.34
乾,11,3.686
侃,8,2.0300000000000002
冠,9,2.71
寒,12,3.85
刊,5,3.65
勘,11,2.826
勧,13,2.136
巻,9,4.111111111111111
喚,12,3.794
堪,12,2.4699999999999998
姦,9,2.672
完,7,2.3866666666666667
官,8,3.353333333333333
寛,13,2.05
干,3,2.964
幹,13,2.8825
患,11,2.5025
感,13,2.33
慣,14,1.9966666666666666
憾,16,1.8833333333333333
換,12,2.815
敢,12,2.185
柑,9,4.4350000000000005
桓,10,3.79
棺,12,4.86
款,12,3.125
歓,15,2.335
汗,6,4.71
漢,13,
澗,15,4.72
潅,14,3.6839999999999997
環,17,4.385
甘,5,3.0140000000000002
監,15,2.6149999999999998
看,9,3.91
竿,9,4.609999999999999
管,14,3.4883333333333333
簡,18,2.0949999999999998
緩,15,2.5
缶,6,4.906666666666666
翰,16,4.2
肝,7,4.1899999999999995
艦,21,4.86
莞,10,4.29
観,18,2.572
諌,15,2.24
貫,11,3.73
還,16,2.835
鑑,23,3.236666666666667
間,12,3.0549999999999997
閑,12,2.03
関,14,3.092
陥,10,4.238
韓,18,
館,16,4.3675
舘,16,4.276666666666666
丸,3,3.2542857142857144
含,7,2.965
岸,8,4.79
巌,20,4.79
玩,8,2.915
癌,17,3.48
眼,11,4.92
岩,8,4.763333333333334
翫,15,3.1500000000000004
贋,19,3.335
雁,12,2.41
頑,13,2.1166666666666667
顔,18,3.705
願,19,2.43
企,6,2.602
伎,6,3.0149999999999997
危,6,2.1866666666666665
喜,12,2.615
器,15,3.8966666666666665
基,11,3.336666666666667
奇,8,1.86
嬉,15,2.3
寄,11,3.092857142857143
岐,7,4.696
希,7,2.507142857142857
幾,12,1.8133333333333335
忌,7,2.4275
揮,12,4.26
机,6,4.885
旗,14,2.9566666666666666
既,10,2.1533333333333333
期,12,3.275
棋,12,4.7
棄,13,2.8449999999999998
帰,10,3.3125
毅,15,3.14
気,6,2.6
汽,7,4.325
畿,15,4.1
祈,8,2.49
季,8,
稀,12,2.2800000000000002
紀,9,3.092
徽,17,2.91
規,11,2.71
記,10,3.4333333333333336
貴,12,2.316
起,10,2.683333333333333
軌,9,3.936
輝,15,3.272
飢,10,3.19
騎,18,4.09
鬼,10,3.3
亀,11,4.9350000000000005
偽,11,2.5949999999999998
儀,15,2.796
妓,7,4.13
宜,8,1.62
戯,15,3.2533333333333334
技,7,2.945
擬,17,3.0275
欺,12,2.236666666666667
犠,17,2.8
疑,14,2.11
祇,8,2.106666666666667
義,13,1.615
蟻,19,4.86
誼,15,2.175
議,20,2.355
掬,11,4.15
菊,11,4.57
鞠,17,5.0
吉,6,2.15
吃,6,2.93
喫,12,4.052
桔,10,2.64
橘,16,3.67
詰,13,2.3225
砧,10,
杵,8,4.61
黍,12,3.88
却,7,2.8033333333333332
客,9,3.95
脚,11,3.9975
虐,9,1.6949999999999998
逆,9,2.6325
丘,5,4.6
久,3,2.95
仇,4,2.5300000000000002
休,6,3.625
及,3,3.1075
吸,6,3.8233333333333333
宮,10,4.645
弓,3,4.61
急,9,2.7175
救,11,2.396
朽,6,3.27
求,7,2.112
汲,7,4.3325000000000005
泣,8,4.086666666666667
灸,7,2.11
球,11,4.720000000000001
究,7,3.365
窮,15,2.514
笈,9,4.96
級,9,3.236666666666667
糾,9,2.6975
給,12,3.341666666666667
旧,5,2.585
牛,4,4.96
去,5,2.412857142857143
居,8,2.6725
巨,5,2.8525
拒,8,2.8
拠,8,2.6175
挙,10,3.2525
渠,12,4.61
虚,11,2.9183333333333334
許,11,2.64
距,12,4.57
鋸,16,4.46
漁,14,4.41
禦,17,2.885
魚,11,5.0
亨,7,2.9299999999999997
享,8,2.8328571428571427
京,8,4.1
侠,8,3.065
僑,14,3.2533333333333334
兇,6,1.72
競,20,3.0157142857142856
共,6,2.217142857142857
凶,4,2.6174999999999997
協,8,2.03
匡,6,2.51
卿,12,3.8025
叫,6,3.48
喬,12,2.99
境,14,3.506666666666667
峡,9,4.380000000000001
強,11,3.14
彊,16,3.14
怯,8,2.972
恐,10,2.1066666666666665
恭,10,1.77
挟,9,3.3600000000000003
教,11,2.3
橋,16,4.97
況,8,2.09
狂,7,2.3625
狭,9,3.515
矯,17,2.39625
胸,10,4.7425
脅,10,2.335
興,16,2.568
蕎,15,4.54
郷,11,3.83
鏡,19,4.435
響,20,3.644
饗,22,4.0
驚,22,1.86
仰,6,2.7271428571428573
凝,16,3.3
尭,8,3.085
暁,12,3.89
業,13,3.1925
局,7,3.63
曲,6,3.227777777777778
極,12,2.53125
玉,5,4.98
桐,10,
粁,9,4.07
僅,12,1.46
勤,12,2.4299999999999997
均,7,2.63
巾,3,4.3575
錦,16,2.61
斤,4,4.0175
欣,8,2.615
欽,12,2.3066666666666666
琴,12,4.85
禁,13,2.283333333333333
禽,13,3.7466666666666666
筋,12,3.835
緊,15,3.252
芹,7,4.77
菌,11,4.206666666666667
衿,9,4.733333333333333
襟,18,4.733333333333333
謹,17,1.7933333333333332
近,7,2.085
金,8,4.81
吟,7,4.03
銀,14,4.52
九,2,4.04
倶,10,2.6966666666666668
句,5,3.5149999999999997
区,4,3.44
狗,8,4.8149999999999995
玖,7,3.1
矩,10,4.66
苦,8,2.655
躯,11,4.8933333333333335
駆,14,3.33
駈,15,3.683333333333333
駒,15,4.953333333333333
具,8,3.67
愚,13,1.69
虞,13,1.9633333333333334
喰,12,3.9633333333333334
空,8,3.644
偶,11,3.172
寓,12,1.9766666666666668
遇,12,3.06
隅,12,4.49
串,7,4.585
櫛,17,5.0
釧,11,4.96
屑,10,3.865
屈,8,3.27
窟,13,4.57
沓,8,5.0
靴,13,
轡,22,3.27
窪,14,3.4075
熊,14,4.88
隈,12,4.016666666666667
粂,9,2.64
栗,10,4.7
繰,19,3.413333333333333
桑,10,4.48
鍬,17,4.74
勲,15,1.66
君,7,4.0925
薫,16,3.215
訓,10,2.9333333333333336
群,13,4.238333333333333
軍,9,3.908
郡,10,3.665
卦,8,1.46
袈,11,1.46
祁,7,2.89
係,9,2.9025
傾,13,3.1225
刑,6,2.8875
兄,5,3.625
啓,11,2.72
圭,6,4.17
珪,10,4.38
型,9,3.915
契,9,2.373333333333333
形,7,2.98
径,8,3.6166666666666667
恵,10,1.9449999999999998
慶,15,2.315
慧,15,1.97
憩,16,2.9225
掲,11,3.142857142857143
携,13,3.2025
敬,12,1.8275
景,12,3.295
桂,10,4.85
渓,11,4.84
畦,11,4.880000000000001
稽,15,2.045
系,7,3.045
経,11,2.86
継,13,2.966
繋,17,4.01
罫,13,
茎,8,4.0649999999999995
荊,9,4.84
蛍,11,4.9
計,9,3.135
詣,13,3.106666666666667
警,19,2.53
軽,12,2.02
頚,14,4.875
鶏,19,4.8
芸,7,3.1757142857142857
迎,7,2.6766666666666667
鯨,19,4.96
劇,15,2.79
戟,12,4.97
撃,15,3.385
激,16,2.79
隙,13,2.8859999999999997
桁,10,3.75
傑,13,1.945
欠,4,3.2775
決,7,2.35
潔,15,2.008
穴,5,4.505
結,12,3.505714285714286
血,6,4.86
訣,11,2.8133333333333335
月,4,4.550000000000001
件,6,3.5825
倹,10,2.1399999999999997
倦,11,3.625
健,11,2.69
兼,10,2.0225
券,8,4.7
剣,10,4.953333333333333
喧,12,3.075
圏,12,3.9275
堅,12,3.1883333333333335
嫌,13,2.01
建,9,3.71
憲,16,2.9
懸,20,2.935
拳,10,4.93
捲,11,3.4625
権,15,2.19
牽,11,3.935
犬,4,4.85
献,13,3.1525
研,9,3.8833333333333337
硯,12,
絹,13,4.7
県,9,
肩,8,4.93
見,7,2.558
謙,17,1.6933333333333334
賢,16,2.0075
軒,10,4.395
遣,13,2.585
鍵,17,4.89
険,11,2.9259999999999997
顕,18,2.565
験,18,2.56
鹸,19,4.0
元,4,2.236666666666667
原,10,3.5725
厳,17,2.2275
幻,4,2.7325
弦,8,4.2
減,12,2.4716666666666667
源,13,2.495
玄,5,2.67
現,11,2.5366666666666666
絃,11,4.695
舷,11,
言,7,3.0700000000000003
諺,16,2.26
限,9,2.013333333333333
乎,5,3.36
個,10,3.8449999999999998
古,5,2.72
呼,8,3.6666666666666665
固,8,3.6550000000000002
姑,8,
孤,9,3.45
己,3,3.1
庫,10,4.655
弧,9,4.446666666666666
戸,4,4.596666666666667
故,9,1.7033333333333334
枯,9,2.85
湖,12,4.88
狐,9,4.97
糊,15,3.8800000000000003
袴,11,
股,8,4.835
胡,9,3.01
菰,12,4.7
虎,8,4.385
誇,13,1.9675
跨,13,3.33
鈷,13,4.46
雇,12,2.76
顧,21,3.0175
鼓,13,3.38
五,4,3.87
互,4,2.2133333333333334
伍,6,4.26
午,4,3.73
呉,7,3.0166666666666666
吾,7,2.7733333333333334
娯,10,2.4299999999999997
後,9,3.203333333333333
御,12,2.1799999999999997
悟,10,1.898
梧,11,4.3
檎,17,5.0
瑚,13,3.18
碁,13,
語,14,3.0933333333333333
誤,14,2.2800000000000002
護,20,2.535
醐,16,3.89
乞,3,2.8266666666666667
鯉,18,4.62
交,6,2.513333333333333
佼,8,1.915
侯,9,3.04
候,10,3.044
倖,10,1.965
光,6,3.8899999999999997
公,4,2.955
功,5,2.2425
効,8,2.02
勾,4,3.0433333333333334
厚,9,2.59
口,3,4.74
向,6,2.4
喉,12,4.55
坑,7,4.744999999999999
垢,9,4.526666666666667
好,6,2.0433333333333334
孔,4,3.0233333333333334
孝,7,
宏,7,3.215
工,3,3.6
巧,5,1.8199999999999998
巷,9,4.6450000000000005
幸,8,2.5633333333333335
広,5,2.69
庚,8,
康,11,1.97
弘,5,2.5366666666666666
恒,9,1.77
慌,12,2.07
抗,7,2.3975
拘,8,2.742
控,11,3.0300000000000002
攻,7,3.1625
昂,8,4.04
晃,10,3.55
更,7,2.8077777777777775
杭,8,4.17
校,10,3.832
梗,11,3.276666666666667
構,14,3.07
江,6,4.586666666666667
洪,9,3.4
浩,10,2.51
港,12,4.57
溝,13,4.605
甲,5,3.292
皇,9,4.35
硬,12,3.69
稿,15,4.0975
糠,17,4.86
紅,9,3.69
紘,10,3.37
絞,12,3.8033333333333332
綱,14,4.5375
耕,10,3.8666666666666667
考,6,2.045
肯,8,2.1633333333333336
肱,8,3.49
腔,12,4.79
膏,14,4.591666666666667
航,10,3.985
荒,9,3.09
行,6,3.38125
衡,16,3.51
講,17,3.29
貢,10,2.953333333333333
購,17,3.285
郊,9,2.92
酵,14,3.19
鉱,13,4.445
砿,10,4.48
鋼,16,4.87
閤,14,3.22
降,10,3.5100000000000002
項,12,3.672
香,9,4.133333333333334
高,10,3.3166666666666664
鴻,17,2.6016666666666666
剛,10,2.91
劫,7,2.85
号,5,3.4714285714285715
合,6,3.51
壕,17,4.416666666666667
拷,9,3.7800000000000002
濠,17,4.623333333333333
豪,14,2.13
轟,21,3.9366666666666665
麹,15,4.645
克,7,2.013333333333333
刻,8,4.022857142857143
告,7,2.6675
国,8,4.17
穀,14,4.76
酷,14,1.885
鵠,18,4.96
黒,11,3.76
獄,14,4.755
漉,14,3.355
腰,13,4.029999999999999
甑,16,
忽,8,2.374
惚,11,3.0366666666666666
骨,10,4.4075
狛,8,2.23
込,5,3.0525
頃,11,2.373333333333333
今,4,1.48
困,7,2.06
坤,8,3.74
墾,16,3.21
婚,11,2.51
恨,9,2.436
懇,17,1.992
昏,8,3.93
昆,8,4.24
根,10,3.73
梱,11,4.3133333333333335
混,11,3.1866666666666665
痕,11,4.555
紺,11,4.11
艮,6,2.8866666666666667
魂,14,1.73
些,8,1.615
佐,7,3.3150000000000004
叉,3,4.835
唆,10,2.0825
嵯,13,3.2133333333333334
左,5,3.7
差,10,2.5966666666666667
査,9,2.27
沙,7,5.0
瑳,14,2.9066666666666667
砂,9,5.0
詐,12,2.225
鎖,18,3.775
裟,13,
坐,7,4.8
座,10,4.394
挫,10,3.325
